English,Expert1 Translation,Expert2 Translation,Expert3 Translation,Igbo Default,Igbo Finalists
I'm praying every day for the country.,Ana m ekpe ekpere kwa ụbọchị maka obodo.,Ana m ekpere obodo anyị ekpere kwa ụbọchị.,Ana m ekpere kwa ụbọchị ma ala anyị .,Ahiajoku! N'anya ka anyị na-akpọrọ ọrụ ọma maka mba.,Ana m ekpe ekpere kwa ụbọchị maka mba a.
The Nigerian president Muhammadu Buhari has told the parents of the kidnapped Chibok girls 5 years ago that he has not forgotten them,Onyeisiala Naịjirịa bụ Muhammadu Buhari agwala ndị nne na nna ụmụnwaanyị Chibok a tọọrọ afọ ise gara aga na ya echefubeghị ha,Onyeisiala Naijiria bụ Muhammadu Buhari agwaala ndị mụtara ụmụaka Chibok na-efu kemgbe afọ ise na ya echezọbeghị ha.,Onye isi ala obodo Nigeria Muhammadu Buhari agwala ndi Nne na Nna ụmụaka chibok ahụ eji eji afọ ịse gara aga na ochefubeghhi ha,"Ahiajoku! Nne na-akpa Chibok nwanyi 5 afọ gara aga, onye isi ala Naijiria Muhammadu Buhari na-akpọ na ha na-anya ha na-anya.",Onyeisiala Muhammadu Buhari agwaala ndi nne na nna ụmụntakịrị Chibok 5 afọ gara aga na ya echefula ha n'obi
Five Nigerians have been sued,A gbara ndị Naijiria ise akwụkwọ,Akpụpụla ụmụafọ Naịjirịa ise ụlọikpe,Amala ụmụ Nigeria ịse ikpa ,Otu n'ime Nigeria abuo agha.,Aka akpọọla ndị Naịjiria ise ikpe
Zamfara primaries: We have those who will contest - APC,zamfara primaries: Anyị nwere ndị ga-azọ ọkwa – APC,Zamfara primaries: Anyị nwere ndi ga-azo ọchịchị - APC,Zamfara praịmarị: Anyị enwela ndị ga-azọ ọchị chị - APC,"Otu na-eme primaries na-eto na-eto, anyị na-eme primaries na-eto na-eto, APC na-eme primaries na-eto na-eto.",Zamfara primaries: Anyị nwere ndị ga-azọ ọkwa - APC
"Matawalle represented by the Secretary to the state government, Alhaji Bala Bello reiterated the state government's commitment to partner with the scheme for the development of various sectors of the state.",matawalle nke onye ode akwụkwọ gọọmentị steeti ahụ bụ Alhaji Bala Bello nọchitere anya ya kwughachiri nkwa gọọmentị steeti ahụ iji kwado atụmatụ a maka mmepe ngalaba dị iche iche na steeti ahụ,"Matawalle, onye odeakwụkwọ nke steeti ahụ, Alhaji Baba Bello, nọchiri anya ya kwuputarakwa ọzọ mkpebi gọọmenti ahụ na ya na amụma ahụ ga-ejiko aka ọnụ iji mepee ngalaba dị iche iche na steeti ahụ.","Matawale bụ onye ode akwukwọ gọọmenti steeti nọchitere anya ya, Alhaji  Bala Bello kwuaghachiri mbọ gọọmenti na-agba ikwado atụmatụ a maka mmehe ngalaba dị icheiche nke steeti ahụ.","Onye isi Matawalle, site na Secretary to the state government, Alhaji Bala Bello, gara agwa na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto","Matawalle n' onye ọrụ gọọmentị steeti nọ n' ọkwa, Alhaji Bala Bello kwupụtara nkwekọrịta gọọmentị steeti ga-eme na ya na ụlọọrụ ahụ maka mmepe nke steeti."
"Priests are like helpers, they are not supposed to experience this he told BBC.","Ụkọchukwu dị ka ndị enyemaka, ha ekwesịghị ịhụ nke a ka ọ gwara BBC.","Ndị ụkọchukwu dị ka ndị ọrụ enyemaka, ha ekwesighi ịgabiga ụdịrị ihe ọjọọ a ka ọ gwara BBC Igbo.","Ndị ụkọchukwu dị ka ndị nyemaka, ha kwesịghị inwe ahụmahụ ka ọ gwara BBC.","Olu na ndị mmụọkarị, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọr","Ndị ụka dị ka ndị enyemaka, ha ekwesighi inwe ihe a ka o kwuru BBC."
But Kenneth Umeru said that a lot of men do not watch the female football match because they believe that the game is meant for men.,mana Kenneth Umeru kwuru na ọtụtụ ụmụnwoke anaghị ekiri egwuregwu bọọlụ ụmụnwaanyị n'ihi na ha kwenyere na egwuregwu a bụ maka ụmụ nwoke,Mana Kenneth Umerue kwuru na ọtụtụ ụmụnwoke anaghị ekiri egwuregwu bọọlụ ụmụnwaanyị makana n'ụche a egwuregwu a bụ nke nwoke.,Mana Kenneth Umeru siri na ọtụtụ ụmụ nwoke anaghị ekiri bọọlụ ụmụ nwanyị maka na ha kwere na egwuregwu ahụ bụ maka ụmụ nwoke ,"Ahiajoku! (Ah-ee-ah-joh-koo) Nwoke a na-akpa na-akpa, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto",Mana Kenneth Umeru kwuru na ọtụtụ nwoke anaghị ahụ egwuregwu ụmụnwaanyị n'ihi na ha na-eche na egwuregwu bụ nke ụmụ nwoke. 
Neymar poses a threat to Real Madrird players as they are about to play against PSG in the premier league.,neymar na-eyi ndị egwu Real Madrid egwu ka ha na-achọ ịgba bọọlụ megide PSG n'asọmpi Premier League.,Neymar dịka ihe iyi egwu nye ndị Madrid dịka ha na-aga izuta ndị PSG n'asọmpi ụkwụ nke mbụ.,Neymar na-eyi ndị egwuregwu Real Madrird egwu ka ha na-akwado igwu egwu megide PGS na premier league.,O nwere onye na-eme aka na Neymar na-akpa ọkwa ndị otu Real Madrid dị ka ha na-eme ka ha na-aga agba PSG na Premier League.,Neymar na-akpata ụdị ọgbaghara nye ndị Real Madrid ka ha na PSG ga-akpọsọ mpụta n'asọmpị 
"A man cannot break colanut in the place he married from, neither can he break the colanut in the gathering where there are older persons unless he was mandated to.","nwoke enweghị ike ịgbaji kolanut n'ebe ọ lụrụ, ọ nweghịkwa ike ịgbaji kola nut na nnọkọ ebe ndị okenye nọ ma ọ bụrụ na e nyere ya iwu","Nwoke anaghị awa ọjị na be ndị ọgọ ya, ọ gaghị awakwa ọjị ebe ndị tọrọ ya nọ na-abụghị ma ha nyere ya ikike ịwa ya.","Nwoke apụghị iwa oji n'ebe ọlụrụ nwanyị, ma ọbụ iwa oji n'ebe ndị okenye nọ ma ọbughi na ha nyere ya ikikere ịga n'ihu ","Onye aghala ka ọkụlọ na ọrụ ya na ọdịnihu ya, ma ọ bụ ka ọkụlọ na ọdịnihu ya na ọdịnihu ya, ọ bụghị onye aghala ka ọkụlọ na ọdịnihu ya, ọ bụ",Nwoke anaghị etinye ọjị n'ụlọ di ya maọbụ n'ọgbakọ ndị okenye maọbụrụ na e kpebiri ya. 
the association of anti child trafficking known as NAPTIP in short form has arrested one native doctor who is involve in child trafficking,Njikọ na-emegide ịzụ ahịa ụmụaka nke a maara dị ka NAPTIP n'ụdị dị nkenke ejidela otu dọkịta nwa afọ nke na-etinye aka na ịzụ ahịa ụmụaka,"Otu na-ahu maka imegide ndi na-atụ mgbere ahia a kpọrọ NAPTIP na aha ịchafụ, anụchiela otu dibịa otụmọkpọ na-atu mgbere ahia ụmụaka.",Njikọ otu nke mgbochi ịzụ ahịa ụmụaka a mara dika NAPTIP na nkenke ejidela otu dibia omenala onye nke aka ya dị na ịzụ ahịa ụmụaka.,"Ahiajoku! NAPTIP, agha mmuo, nke a na-akpọ NAPTIP, nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-ak",Ndị NAPTIP kpụrụ otu onye dọkịta ọgwụ n' ike ọjị na-ere ụmụaka
