English,Igbo Default,Igbo Default Score,Igbo Finalists,Igbo Finalists Score
I'm praying every day for the country.,Ahiajoku! N'anya ka anyị na-akpọrọ ọrụ ọma maka mba.,4.9323515694897075,Ana m ekpe ekpere kwa ụbọchị maka mba a.,66.06328636027612
The Nigerian president Muhammadu Buhari has told the parents of the kidnapped Chibok girls 5 years ago that he has not forgotten them,"Ahiajoku! Nne na-akpa Chibok nwanyi 5 afọ gara aga, onye isi ala Naijiria Muhammadu Buhari na-akpọ na ha na-anya ha na-anya.",6.612236699303838,Onyeisiala Muhammadu Buhari agwaala ndi nne na nna ụmụntakịrị Chibok 5 afọ gara aga na ya echefula ha n'obi,25.921705371356875
Five Nigerians have been sued,Otu n'ime Nigeria abuo agha.,8.116697886877475,Aka akpọọla ndị Naịjiria ise ikpe,9.652434877402245
Zamfara primaries: We have those who will contest - APC,"Otu na-eme primaries na-eto na-eto, anyị na-eme primaries na-eto na-eto, APC na-eme primaries na-eto na-eto.",2.5540496664715904,Zamfara primaries: Anyị nwere ndị ga-azọ ọkwa - APC,83.07018474412791
"Matawalle represented by the Secretary to the state government, Alhaji Bala Bello reiterated the state government's commitment to partner with the scheme for the development of various sectors of the state.","Onye isi Matawalle, site na Secretary to the state government, Alhaji Bala Bello, gara agwa na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto",7.771324020744104,"Matawalle n' onye ọrụ gọọmentị steeti nọ n' ọkwa, Alhaji Bala Bello kwupụtara nkwekọrịta gọọmentị steeti ga-eme na ya na ụlọọrụ ahụ maka mmepe nke steeti.",16.73591721060007
"Priests are like helpers, they are not supposed to experience this he told BBC.","Olu na ndị mmụọkarị, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọr",1.9792649377110934,"Ndị ụka dị ka ndị enyemaka, ha ekwesighi inwe ihe a ka o kwuru BBC.",44.50050658086209
But Kenneth Umeru said that a lot of men do not watch the female football match because they believe that the game is meant for men.,"Ahiajoku! (Ah-ee-ah-joh-koo) Nwoke a na-akpa na-akpa, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto",0.9432284668356838,Mana Kenneth Umeru kwuru na ọtụtụ nwoke anaghị ahụ egwuregwu ụmụnwaanyị n'ihi na ha na-eche na egwuregwu bụ nke ụmụ nwoke. ,40.90273937983044
Neymar poses a threat to Real Madrird players as they are about to play against PSG in the premier league.,O nwere onye na-eme aka na Neymar na-akpa ọkwa ndị otu Real Madrid dị ka ha na-eme ka ha na-aga agba PSG na Premier League.,9.562406574442017,Neymar na-akpata ụdị ọgbaghara nye ndị Real Madrid ka ha na PSG ga-akpọsọ mpụta n'asọmpị ,8.248473332177573
"A man cannot break colanut in the place he married from, neither can he break the colanut in the gathering where there are older persons unless he was mandated to.","Onye aghala ka ọkụlọ na ọrụ ya na ọdịnihu ya, ma ọ bụ ka ọkụlọ na ọdịnihu ya na ọdịnihu ya, ọ bụghị onye aghala ka ọkụlọ na ọdịnihu ya, ọ bụ",6.468490584192431,Nwoke anaghị etinye ọjị n'ụlọ di ya maọbụ n'ọgbakọ ndị okenye maọbụrụ na e kpebiri ya. ,6.041872796603504
the association of anti child trafficking known as NAPTIP in short form has arrested one native doctor who is involve in child trafficking,"Ahiajoku! NAPTIP, agha mmuo, nke a na-akpọ NAPTIP, nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-ak",2.372094012055542,Ndị NAPTIP kpụrụ otu onye dọkịta ọgwụ n' ike ọjị na-ere ụmụaka,1.8629402050088815
Average Score,,5.131214441812348,,30.30000608582457
