English,Igbo Default,BLEU Scores (Avg: 30.30)
I'm praying every day for the country.,Ahiajoku! N'anya ka anyị na-akpọrọ ọrụ ọma maka mba.,66.06328636
The Nigerian president Muhammadu Buhari has told the parents of the kidnapped Chibok girls 5 years ago that he has not forgotten them,"Ahiajoku! Nne na-akpa Chibok nwanyi 5 afọ gara aga, onye isi ala Naijiria Muhammadu Buhari na-akpọ na ha na-anya ha na-anya.",25.92170537
Five Nigerians have been sued,Otu n'ime Nigeria abuo agha.,9.652434877
Zamfara primaries: We have those who will contest - APC,"Otu na-eme primaries na-eto na-eto, anyị na-eme primaries na-eto na-eto, APC na-eme primaries na-eto na-eto.",83.07018474
"Matawalle represented by the Secretary to the state government, Alhaji Bala Bello reiterated the state government's commitment to partner with the scheme for the development of various sectors of the state.","Onye isi Matawalle, site na Secretary to the state government, Alhaji Bala Bello, gara agwa na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto na-eto",16.73591721
"Priests are like helpers, they are not supposed to experience this he told BBC.","Olu na ndị mmụọkarị, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọrụ, ha na-ahụ maka ọr",44.50050658
But Kenneth Umeru said that a lot of men do not watch the female football match because they believe that the game is meant for men.,"Ahiajoku! (Ah-ee-ah-joh-koo) Nwoke a na-akpa na-akpa, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto, na-eto na-eto",40.90273938
Neymar poses a threat to Real Madrird players as they are about to play against PSG in the premier league.,O nwere onye na-eme aka na Neymar na-akpa ọkwa ndị otu Real Madrid dị ka ha na-eme ka ha na-aga agba PSG na Premier League.,8.248473332
"A man cannot break colanut in the place he married from, neither can he break the colanut in the gathering where there are older persons unless he was mandated to.","Onye aghala ka ọkụlọ na ọrụ ya na ọdịnihu ya, ma ọ bụ ka ọkụlọ na ọdịnihu ya na ọdịnihu ya, ọ bụghị onye aghala ka ọkụlọ na ọdịnihu ya, ọ bụ",6.041872797
the association of anti child trafficking known as NAPTIP in short form has arrested one native doctor who is involve in child trafficking,"Ahiajoku! NAPTIP, agha mmuo, nke a na-akpọ NAPTIP, nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-akpọ nke a na-ak",1.862940205
Average Score,,30.30000609
